Wall time,Step,Value,Smoothed value
1690895654,4319,0.045404457,0.045212109
1690895654,4328,0.045580313,0.045215791
1690895654,4332,0.047257282,0.045236206
1690895654,4343,0.045145415,0.045235298
1690895655,4369,0.045473423,0.045237679
1690895655,4378,0.045053024,0.045235833
1690895655,4393,0.044384353,0.045227318
1690895655,4400,0.045363311,0.045228678
1690895655,4406,0.045595415,0.045232345
1690895655,4410,0.04469341,0.045226956
1690895655,4411,0.045713849,0.045231825
1690895656,4430,0.044890158,0.045228408
1690895656,4433,0.044644017,0.045222564
1690895656,4469,0.045413889,0.045224477
1690895656,4475,0.043592118,0.045208154
1690895657,4490,0.045565777,0.04521173
1690895657,4492,0.045524951,0.045214862
1690895657,4509,0.045069329,0.045213407
1690895657,4510,0.044952586,0.045210799
1690895657,4529,0.044574779,0.045204438
1690895657,4530,0.045114696,0.045203541
1690895657,4533,0.044134412,0.04519285
1690895657,4542,0.045908861,0.04520001
1690895658,4553,0.044594027,0.04519395
1690895658,4578,0.045948237,0.045201493
1690895658,4581,0.045437984,0.045203858
1690895658,4592,0.044217072,0.04519399
1690895658,4595,0.045875348,0.045200804
1690895658,4597,0.047095682,0.045219752
1690895658,4599,0.045504071,0.045222596
1690895659,4611,0.045337066,0.04522374
1690895659,4628,0.045058403,0.045222087
1690895659,4649,0.044935279,0.045219219
1690895659,4656,0.044618137,0.045213208
1690895659,4664,0.044278488,0.045203861
1690895659,4668,0.045229807,0.04520412
1690895660,4675,0.044820897,0.045200288
1690895660,4676,0.045383073,0.045202116
1690895660,4677,0.045044191,0.045200537
1690895660,4687,0.046009932,0.045208631
1690895660,4713,0.046356089,0.045220105
1690895660,4718,0.046763323,0.045235537
1690895660,4734,0.044719942,0.045230381
1690895661,4745,0.045300502,0.045231083
1690895661,4749,0.044462252,0.045223394
1690895661,4750,0.04498532,0.045221014
1690895661,4758,0.044438653,0.04521319
1690895661,4764,0.044327512,0.045204333
1690895661,4767,0.045497816,0.045207268
1690895661,4776,0.04419829,0.045197178
1690895661,4780,0.044744819,0.045192655
1690895661,4787,0.04463074,0.045187035
1690895661,4788,0.046848413,0.045203649
1690895661,4794,0.045057066,0.045202183
1690895662,4800,0.044399552,0.045194157
1690895662,4802,0.046523482,0.04520745
1690895662,4805,0.045816943,0.045213545
1690895662,4840,0.045521721,0.045216627
1690895662,4852,0.045024127,0.045214702
1690895663,4871,0.044138238,0.045203937
1690895663,4873,0.045461252,0.045206511
1690895663,4894,0.046709079,0.045221536
1690895663,4914,0.044266433,0.045211985
1690895664,4938,0.046866871,0.045228534
1690895664,4941,0.044418536,0.045220434
1690895664,4954,0.046163809,0.045229868
1690895664,4962,0.044215728,0.045219726
1690895664,4971,0.045051724,0.045218046
1690895664,4974,0.045039933,0.045216265
1690895664,4976,0.045083184,0.045214934
1690895664,4977,0.045137405,0.045214159
1690895665,5021,0.044484414,0.045206862
1690895665,5027,0.044361793,0.045198411
1690895665,5030,0.046105452,0.045207481
1690895665,5037,0.045975462,0.045215161
1690895666,5050,0.044783965,0.045210849
1690895666,5052,0.044798862,0.045206729
1690895666,5053,0.044460282,0.045199265
1690895666,5060,0.046588354,0.045213156
1690895666,5078,0.044741534,0.04520844
1690895666,5101,0.045311235,0.045209468
1690895667,5106,0.044278793,0.045200161
1690895667,5126,0.044485513,0.045193014
1690895667,5128,0.043066867,0.045171753
1690895667,5134,0.044454593,0.045164581
1690895667,5160,0.045715775,0.045170093
1690895667,5165,0.044874545,0.045167138
1690895668,5182,0.045075685,0.045166223
1690895668,5200,0.044863023,0.045163191
1690895668,5208,0.045344431,0.045165004
1690895669,5231,0.046617273,0.045179526
1690895669,5235,0.044694193,0.045174673
1690895669,5239,0.04491885,0.045172115
1690895669,5240,0.044504121,0.045165435
1690895669,5266,0.044351298,0.045157293
1690895669,5289,0.045655258,0.045162273
1690895670,5318,0.046870176,0.045179352
1690895670,5329,0.044722348,0.045174782
1690895670,5345,0.045294032,0.045175975
1690895671,5359,0.045962315,0.045183838
1690895671,5360,0.045931675,0.045191316
1690895671,5380,0.045522101,0.045194624
1690895671,5404,0.044346608,0.045186144
1690895672,5420,0.044614956,0.045180432
1690895672,5439,0.045571283,0.045184341
1690895672,5442,0.045002826,0.045182525
1690895672,5447,0.044783391,0.045178534
1690895673,5484,0.046856731,0.045195316
1690895673,5491,0.043855734,0.04518192
1690895673,5495,0.043723464,0.045167336
1690895673,5501,0.045275256,0.045168415
1690895673,5507,0.045145959,0.04516819
1690895673,5512,0.04550118,0.04517152
1690895673,5515,0.046800502,0.04518781
1690895673,5517,0.046355635,0.045199488
1690895674,5541,0.045891047,0.045206404
1690895674,5549,0.044896483,0.045203305
1690895674,5566,0.04428,0.045194072
1690895674,5571,0.044985112,0.045191982
1690895674,5573,0.043418579,0.045174248
1690895674,5585,0.04473839,0.045169889
1690895674,5587,0.044758435,0.045165775
1690895674,5593,0.04556188,0.045169736
1690895675,5605,0.044186138,0.0451599
1690895675,5610,0.045883048,0.045167131
1690895675,5620,0.045622036,0.04517168
1690895675,5630,0.043828115,0.045158245
1690895675,5658,0.046409938,0.045170762
1690895675,5660,0.044395819,0.045163012
1690895675,5664,0.044551902,0.045156901
1690895676,5679,0.04606875,0.04516602
1690895676,5720,0.046114534,0.045175505
1690895677,5723,0.046421371,0.045187964
1690895677,5741,0.044075977,0.045176844
1690895677,5759,0.046545379,0.045190529
1690895677,5776,0.046732213,0.045205946
1690895677,5779,0.04540994,0.045207986
1690895677,5784,0.045026541,0.045206171
1690895678,5789,0.044008892,0.045194199
1690895678,5807,0.045231547,0.045194572
1690895678,5808,0.044106979,0.045183696
1690895678,5825,0.044286698,0.045174726
1690895678,5828,0.043705925,0.045160038
1690895678,5835,0.044672661,0.045155164
1690895679,5862,0.044159897,0.045145212
1690895679,5864,0.045491539,0.045148675
1690895679,5871,0.046000898,0.045157197
1690895679,5889,0.04641895,0.045169815
1690895679,5898,0.044784646,0.045165963
1690895680,5907,0.045611203,0.045170415
1690895680,5917,0.045310222,0.045171813
1690895680,5928,0.044241384,0.045162509
1690895680,5932,0.045031317,0.045161197
1690895680,5933,0.045583837,0.045165424
1690895680,5952,0.045299947,0.045166769
1690895680,5957,0.045266651,0.045167768
1690895681,5959,0.044217579,0.045158266
1690895681,5963,0.045326628,0.045159949
1690895681,5972,0.045315672,0.045161507
1690895681,5990,0.044477262,0.045154664
1690895682,6010,0.045521781,0.045158335
1690895682,6015,0.043959606,0.045146348
1690895682,6024,0.046837073,0.045163255
1690895682,6030,0.045743249,0.045169055
1690895682,6031,0.04513631,0.045168728
1690895682,6035,0.044625271,0.045163293
1690895682,6038,0.045495063,0.045166611
1690895682,6060,0.046532363,0.045180268
1690895683,6078,0.044856206,0.045177028
1690895683,6082,0.045147024,0.045176728
1690895683,6087,0.044449903,0.04516946
1690895683,6103,0.045697656,0.045174742
1690895683,6105,0.044419993,0.045167194
1690895683,6115,0.044755407,0.045163076
1690895683,6121,0.044983603,0.045161281
1690895683,6123,0.046225045,0.045171919
1690895683,6129,0.045864828,0.045178848
1690895683,6131,0.045193005,0.04517899
1690895683,6133,0.043782637,0.045165026
1690895683,6145,0.043974008,0.045153116
1690895684,6147,0.046036191,0.045161947
1690895684,6149,0.043553196,0.045145859
1690895684,6172,0.044303395,0.045137435
1690895684,6181,0.044427469,0.045130335
1690895684,6184,0.046130486,0.045140336
1690895684,6200,0.046668842,0.045155622
1690895684,6211,0.045840099,0.045162466
1690895684,6213,0.045723036,0.045168072
1690895684,6219,0.045144748,0.045167839
1690895685,6232,0.045609958,0.04517226
1690895685,6237,0.044116065,0.045161698
1690895685,6244,0.045360293,0.045163684
1690895685,6250,0.046004862,0.045172096
1690895685,6263,0.045229942,0.045172674
1690895686,6289,0.045519643,0.045176144
1690895686,6312,0.043690212,0.045161285
1690895686,6316,0.045519091,0.045164863
1690895686,6317,0.044904865,0.045162263
1690895686,6324,0.044682812,0.045157468
1690895686,6341,0.044885561,0.045154749
1690895687,6352,0.043341428,0.045136616
1690895687,6363,0.045155309,0.045136803
1690895687,6370,0.045491137,0.045140346
1690895687,6376,0.045908935,0.045148032
1690895687,6400,0.044949062,0.045146042
1690895688,6455,0.04627005,0.045157282
1690895688,6459,0.045166776,0.045157377
1690895688,6472,0.045616865,0.045161972
1690895689,6487,0.045073982,0.045161092
1690895689,6495,0.045207709,0.045161558
1690895689,6496,0.044660851,0.045156551
1690895689,6500,0.044492695,0.045149913
1690895689,6510,0.047099661,0.04516941
1690895689,6520,0.045688715,0.045174603
1690895689,6521,0.044583522,0.045168693
1690895689,6522,0.045523517,0.045172241
1690895689,6530,0.046029568,0.045180814
1690895690,6550,0.044260062,0.045171607
1690895690,6574,0.044136137,0.045161252
1690895691,6581,0.045809031,0.04516773
1690895691,6584,0.045747682,0.045173529
1690895691,6594,0.046193633,0.04518373
1690895691,6603,0.045548588,0.045187379
1690895691,6606,0.045554686,0.045191052
1690895691,6616,0.044205803,0.045181199
1690895691,6621,0.044349052,0.045172878
1690895692,6657,0.044395667,0.045165106
1690895692,6666,0.044697173,0.045160426
1690895692,6668,0.044452272,0.045153345
1690895692,6672,0.04605832,0.045162395
1690895692,6678,0.044831734,0.045159088
1690895692,6681,0.044468768,0.045152185
1690895692,6688,0.045501616,0.045155679
1690895692,6696,0.044941049,0.045153533
1690895692,6699,0.046016298,0.045162161
1690895692,6707,0.043520447,0.045145743
1690895692,6711,0.045658104,0.045150867
1690895693,6715,0.043981656,0.045139175
1690895693,6738,0.044485159,0.045132635
1690895693,6742,0.044847317,0.045129782
1690895693,6749,0.04552513,0.045133735
1690895693,6753,0.044577587,0.045128174
1690895693,6764,0.044717342,0.045124065
1690895693,6776,0.045874611,0.045131571
1690895694,6792,0.046173271,0.045141988
1690895694,6817,0.044813812,0.045138706
1690895694,6832,0.043422729,0.045121546
1690895695,6846,0.04587939,0.045129125
1690895695,6854,0.045633607,0.045134169
1690895695,6862,0.045296218,0.04513579
1690895695,6868,0.044337116,0.045127803
1690895695,6869,0.045223393,0.045128759
1690895695,6895,0.045067463,0.045128146
1690895696,6909,0.046027049,0.045137135
1690895696,6934,0.043741174,0.045123176
1690895696,6951,0.044701777,0.045118962
1690895696,6963,0.044610795,0.04511388
